Org,Year,hitter_z_score,pitcher_z_score,total_z_score
ARI,2019,0.10805314268476078,-0.27814873455562344,-0.07582273958859186
ARI,2020,0.7932338239588883,-0.6061746368704612,0.28569128956617845
ARI,2021,0.36698558990022384,0.3601784467172897,0.394073513651871
ARI,2022,1.0102208548937952,0.35920558283233645,0.9246656645507763
ARI,2023,1.1832075633052812,1.048387151179997,1.576025777958449
ARI,2024,0.2713128912421138,-1.047555513188897,-0.16623011742340732
ATL,2019,0.3606449048049806,2.3054524879530702,1.4489642213688028
ATL,2020,0.135143540378181,0.46523951382233997,0.33856082224806205
ATL,2021,0.10866053779168648,0.23184883387264965,0.16050410586428793
ATL,2022,-1.471402759750315,-1.06995077569266,-1.5569660643483023
ATL,2023,-1.8548483107764329,-0.2994217810921706,-1.859859804320634
ATL,2024,-1.3924633629398049,1.6154408703386678,-0.7195619923418222
BAL,2019,-0.8257709475778702,-0.37313407361844303,-0.7357305390849069
BAL,2020,-0.29574890720442504,0.09658088132589221,-0.1725113270101462
BAL,2021,0.5330516948271408,0.28318067901050564,0.4883996206430103
BAL,2022,2.088835040343686,1.6569452647113563,2.263357589554859
BAL,2023,1.729736133245907,0.292299213563903,1.7403507405891878
BAL,2024,2.4390545668152357,-0.1378362517353811,2.3860131556377815
BOS,2019,-1.56823764229488,-0.9525446419016427,-1.5256201778759508
BOS,2020,-0.8128198443035523,-1.2743684082702729,-1.2592739432488649
BOS,2021,-0.026652584741356913,-0.7947880688844707,-0.2976512709498173
BOS,2022,0.8642429952088475,-0.16646112375157035,0.6089364369554736
BOS,2023,1.721698948393839,-1.1048198015962707,1.0979895230326635
BOS,2024,1.2654364622055838,-0.9648537621476683,0.8643504996121404
CHC,2019,-0.48132763559575226,-0.6485915569006199,-0.6557417149035354
CHC,2020,-0.39759621299667736,-0.6176952191359752,-0.613090766025843
CHC,2021,-0.2050198826258232,-0.8846187978757188,-0.4593531686489133
CHC,2022,1.1643085956723511,-0.7742632532392126,0.6089364369554736
CHC,2023,0.2750056750215941,1.442867814284046,0.9112566109522785
CHC,2024,1.8177273349630672,0.9042058113841007,2.1992636478528165
CHW,2019,0.8122483582926464,0.30126183372757626,0.6890703916457733
CHW,2020,0.5425327635471903,0.07353971679486422,0.4442998876118293
CHW,2021,-0.3095800227649931,-0.19163888851466251,-0.29315955156928686
CHW,2022,-1.6173806194352627,-1.6448987360188083,-1.891639045599323
CHW,2023,-0.7135680617827732,-1.3513702160363015,-1.277253118629833
CHW,2024,-0.10838708377865602,1.0199882628418209,0.3179352731302057
CIN,2019,0.9270627956200191,-0.2591516667430595,0.46910112514700164
CIN,2020,-0.8441574768550145,-0.2835983334360695,-0.7775737565917031
CIN,2021,-0.4694955312131353,-0.26863665622144656,-0.43689457174626106
CIN,2022,-0.8956012021041326,1.3119764885156675,-0.19301580113659497
CIN,2023,1.5770296210566144,-0.25011169820416446,1.351946283461987
CIN,2024,-0.84707612609179,0.2095111026377795,-0.7610618829607033
CLE,2019,0.23052187583395828,-0.47761794658754464,-0.10081924714527045
CLE,2020,0.33883815196268563,-0.13383076398438762,0.18582661672262052
CLE,2021,0.6191600455299865,0.2575147564415777,0.5423002532093756
CLE,2022,1.2372975255148249,1.0819973043852082,1.379315752288012
CLE,2023,-0.2393741555107596,1.7058549230200788,0.5527294197579394
CLE,2024,0.28512016306105087,-1.3287414667290747,-0.2699798439706101
COL,2019,-0.4277475648429783,-0.5631047517440823,-0.5757528907221638
COL,2020,-0.6874693140977033,-0.8135451176497132,-0.9303079621171447
COL,2021,-0.9184890741636883,-1.372271326685351,-1.1510779532506015
COL,2022,-0.23059095242825994,-1.2177945369193839,-0.6476658888738307
COL,2023,0.242856935613322,-1.3184968274442972,-0.3734658241607699
COL,2024,-0.5157016024373,0.011026900138830575,-0.5120625392474166
DET,2019,-0.7798451726469212,0.09229408778937308,-0.4607689559614423
DET,2020,-0.7736478036142245,2.066600448728785,0.4736718502128758
DET,2021,0.42234095820919615,2.3621204070936743,1.135207211439394
DET,2022,0.4506390594348291,-0.5278569845280063,0.14797176466633186
DET,2023,-1.0430926407175622,-0.13505483813215016,-1.0307656746837248
DET,2024,-0.1705198069638729,-0.2536187031931013,-0.2768964924070903
HOU,2019,-0.42009326902115346,2.001499402952047,0.7790578188498163
HOU,2020,-1.698107963882361,1.1219127029566374,-0.7012066538289824
HOU,2021,-1.19526591570855,-0.5381288431951907,-1.0612435656399928
HOU,2022,-1.0010296563210392,-1.0863778602734073,-1.1970347448896572
HOU,2023,-0.24741134036282764,-0.5952822784202074,-0.5004442043754317
HOU,2024,-0.7642324951781675,-0.5844257073580162,-1.01006122667399
KCR,2019,-1.468731796611157,-0.7435768959634396,-1.3506446249792006
KCR,2020,-0.7736478036142245,-0.018624941329247708,-0.5895931959450058
KCR,2021,-0.660164022055151,0.46284213699300175,-0.32010986785246953
KCR,2022,0.9210121628641049,-0.13360695459007618,0.6657676979226281
KCR,2023,-1.0832785649779024,-0.9240161643402482,-1.426639448294141
KCR,2024,-1.1301251983800003,-0.7002081588157364,-1.4250601328628012
LAA,2019,0.29558339031946945,-0.1594170607270989,0.1091514163308298
LAA,2020,0.5386155594782576,-1.2225257880754599,-0.21950646717182054
LAA,2021,-0.4018389699466136,-1.372271326685351,-0.7737735252860444
LAA,2022,-1.7795782413074268,-0.42929447704352375,-1.5506514797963962
LAA,2023,-0.7216052466348412,-1.4664270761083156,-1.3370076504955561
LAA,2024,-1.1646433779273428,-1.5437660194362692,-1.8123924453056917
